 order_id, shop_id, shop_category,-, user_historical_order,status, pay_type,original_price,price_after_restaurant_promotion,realpay_price, total_delivery_price, ata, eta, coupon_batch_id
a4509,9300,Burger,5420,2,Completed,2,31500,19450,19450,3700,98,49,null
a4780,9300,Burger,1274,1,Completed,2,8500,7350,350,3100,94,48,55223770
a4194,5300,Wings,8483,14,Completed,1,11500,12575,8875,3700,97,51,55220880
a1745,0,Pizza,6327,8,Completed,2,15300,19000,19000,3700,102,57,null
a3255,5800,Tortas,1103,25,Completed,2,10800,14500,14500,3700,90,46,null
a2513,1900,Meat,9859,2,Completed,2,29000,30500,29000,1500,63,20,55226944
a4282,7500,Tacos,58,4,Completed,1,15300,11380,11380,2200,73,31,null
a4166,9700,Drinks,8633,1,Completed,1,7500,9300,4200,1800,69,28,55226850
a1338,4100,Pizza,7217,1,Completed,1,23400,26600,21100,3200,87,46,55226842
a4596,8500,Pozole,9691,1,Completed,2,8000,10100,100,2100,78,37,55226494
a5480,4500,Sushi,3835,1,Completed,1,18400,17220,13220,2500,87,46,55226840
a5291,7100,Seafood,8177,2,Completed,1,14900,16110,6610,2700,79,40,55226348
a1368,7700,Burger,4230,3,Completed,1,35000,21550,12050,2300,78,40,55226348
a1317,1600,Drinks,460,11,Completed,2,16000,12600,3100,3000,78,40,55226352
a4430,6400,Meat,9189,1,Completed,1,39600,26860,21360,3100,86,48,55226842
a1388,3600,Sushi,6659,8,Completed,2,10000,13500,10500,3500,89,51,55222722
a2077,5200,Tacos,157,2,Completed,1,9600,12600,3100,3000,89,51,55226350
a2596,4200,Coffee,8480,5,Completed,1,15900,17800,8300,3900,102,65,55226350
a3533,9300,Burger,7736,5,Completed,2,13300,8850,6650,2200,80,44,55226944
a4998,6200,Burger,1669,4,Completed,1,14100,16100,16100,2000,76,40,null
a2488,9700,Sandwiches,9387,13,Completed,1,1700,4800,1700,3100,97,61,55220884
a5141,8600,Pizza,3790,1,Completed,2,12900,9595,4095,2500,75,40,55226842
a2246,8200,Tacos,4129,34,Completed,1,35900,37700,37700,1800,70,35,null
a2348,9000,Dessert,1999,3,Completed,2,7900,10600,7900,2700,76,42,55222722
a5030,6400,Pozole,6724,2,Completed,1,43200,46300,46300,3100,69,35,null
a1389,4500,Sushi,8169,3,Completed,1,62400,29952,29952,0,65,31,null
a2764,5400,Dessert,5429,1,Completed,1,11600,11780,6280,2200,69,36,55226842
a3989,6400,Meat,9896,2,Completed,2,30800,20980,18480,2500,70,37,55226944
a3023,5000,Soup,3264,2,Completed,1,25200,17320,15120,2200,70,37,55226944
a5028,5100,Snacks,1542,2,Completed,2,9500,11800,2300,2300,72,40,55226350
a4238,4000,Sushi,2209,12,Completed,1,68400,31330,30330,0,75,43,55226620
a2215,700,Burger,9264,7,Completed,1,16500,11000,11000,0,97,66,null
a1902,5900,Dessert,4041,11,Completed,2,13000,15500,10850,2500,76,45,55192700
a4013,6000,Burger,3654,2,Completed,2,32400,35500,30500,3100,77,48,55179736
a3172,7700,Soup,4218,1,Completed,2,10000,7100,3100,2100,65,36,55226840
a3149,3600,Tacos,5024,4,Completed,2,11100,13500,13500,2400,67,38,null
a4886,1200,Chilaquiles,1799,4,Completed,1,67800,53420,43920,2000,63,35,55226348
a1901,7600,Quesadillas,1842,7,Completed,1,39660,23796,23796,0,76,48,null
a1123,300,Dessert,6166,19,Completed,1,8000,11700,8000,3700,84,57,55226616
a1042,900,Pozole,4461,6,Completed,1,43600,27960,27960,1800,65,38,null
a2930,6100,Quesadillas,2990,3,Completed,2,21500,24000,21500,2500,69,42,55222722
a2139,400,Burger,2767,11,Completed,2,7500,8940,7940,3500,77,51,55226620
a4210,9000,Burger,1553,22,Completed,1,91100,48550,46750,1800,62,36,55226616
a5156,9200,Chilaquiles,5351,3,Completed,1,16500,18600,18600,2100,61,35,null
a3005,6100,Coffee,5191,2,Completed,2,25500,16850,12750,4100,64,38,55226944
a1018,900,Pozole,9534,2,Completed,1,35500,26500,26500,3000,87,61,null
a3566,9300,Seafood,2930,1,Completed,2,4000,6200,200,2200,64,38,55227000
a4103,5100,Snacks,1682,2,Completed,2,19000,11600,2100,2100,73,47,55226348
a2308,9100,Sushi,4746,1,Completed,1,16100,18400,14400,2300,63,37,55226840
a1407,4500,Sushi,8169,2,Completed,1,62400,29952,29952,0,54,28,null
a1988,2800,Wings,7928,1,Completed,2,33600,36200,32200,2600,80,54,55226840
a3433,7500,Bakery,1207,20,Completed,1,16850,18650,18650,1800,46,21,null
a1566,700,Burger,5810,10,Completed,1,17000,17000,7500,0,76,51,55226352
a4885,2500,Burger,439,2,Completed,2,21500,24300,21500,2800,72,47,55226944
a3964,6600,Burger,6236,1,Completed,2,28000,29800,24300,1800,61,36,55226842
a4577,2500,Sandwiches,3425,3,Completed,1,17500,19700,17500,2200,64,39,55222722
a3162,8900,Sushi,4317,5,Completed,2,15000,11200,10200,3700,75,50,55226620
a2360,9800,Sushi,1234,10,Completed,1,22000,14600,5100,2500,63,38,55226350
a3101,900,Tacos,8026,47,Completed,1,18200,11900,11900,2800,71,46,null
a2759,7100,Burger,5815,19,Completed,1,23400,26200,16700,2800,77,53,55226352
a2677,7700,Burger,1043,9,Completed,1,13500,9225,7425,1800,50,26,55226662
a2801,1200,Chilaquiles,1859,10,Completed,1,44100,34920,34920,1800,54,30,null
a5116,6400,Coffee,5801,1,Completed,2,10000,8200,1200,1800,52,28,55223770
a5204,5600,Pizza,2106,3,Completed,1,48400,29300,26800,2500,77,53,55226944
a2495,1600,Sushi,4749,3,Completed,2,24200,26700,26700,2500,87,63,null
a5041,9400,Ice Creame,5812,7,Completed,2,6500,10400,900,3900,80,57,55226350
a1177,2200,Pizza,4305,10,Completed,1,25600,14900,14900,2100,66,43,null
a1991,8700,Bakery,2331,9,Completed,1,18900,11950,2450,2500,62,40,55226352
a2118,700,Burger,3896,2,Completed,1,9900,7650,4950,2700,68,46,55226944
a1942,4800,Tacos,8105,1,Completed,1,15500,11200,6200,2200,71,49,55226844
a4843,2300,Tacos,9560,1,Completed,2,21000,23600,23600,2600,65,43,null
a3063,5700,Tacos,3918,3,Completed,2,4500,3150,1350,1800,50,28,55226944
a4578,900,Tortas,6400,9,Completed,2,24400,27200,24400,2800,67,45,55226616
a3197,6900,Tortas,5331,6,Completed,2,16400,11640,11640,1800,52,30,null
a3690,2500,Pasta,7937,8,Completed,1,49800,52500,49800,2700,61,40,55226944
a2220,5000,Pizza,6302,12,Completed,1,29800,23360,23360,2500,73,52,null
a2558,5000,Pizza,6302,12,Completed,1,29800,23360,23360,2500,73,52,null
a2523,2800,Sushi,3626,31,Completed,2,34500,33600,33600,3100,78,57,null
a5319,2800,Sushi,5216,17,Completed,2,36800,39300,34300,2500,71,50,55179736
a4467,2200,Tacos,9721,2,Completed,1,41000,42800,41000,1800,54,33,55226944
a5001,700,Tortas,8395,6,Completed,2,9000,11000,9000,2000,74,53,55226676
a4971,5200,Dessert,4119,32,Completed,1,12500,15600,15600,3100,61,41,null
a4984,8500,Pozole,720,2,Completed,1,33800,35600,35600,1800,57,37,null
a2411,700,Sushi,5383,24,Completed,2,12000,7800,6000,1800,60,40,null
a1750,4700,Tacos,8908,6,Completed,2,15200,17800,17800,2600,62,42,null
a4355,9600,Tacos,1969,14,Completed,2,32600,28700,28700,0,58,38,null
a2959,5300,Wings,3391,2,Completed,1,97400,99600,97400,2200,57,37,55226944
a1826,3000,Wings,1381,8,Completed,2,26900,17940,17940,1800,49,29,null
a4641,3600,Antojitos,4415,2,Completed,2,13080,15122,15122,2800,63,44,null
a2081,8700,Bakery,1522,7,Completed,1,28000,17500,14000,3500,69,50,55226616
a3298,7200,Burger,7012,14,Completed,1,11500,10600,1100,3100,72,53,55226352
a3166,8000,Burger,9278,1,Completed,2,24300,26300,22300,2000,53,34,55226840
a3253,9600,Chilaquiles,8692,3,Completed,1,15600,13620,13620,2700,47,28,null
a4160,1200,Chilaquiles,7805,25,Completed,1,11800,10060,10060,1800,46,27,null
a3960,4600,Pizza,1420,23,Completed,1,46800,30080,30080,2000,51,32,null
a4207,7600,Seafood,7176,2,Completed,1,11500,14700,5200,3200,65,46,55226348
a3790,400,Snacks,1337,7,Completed,2,25500,18900,15900,3600,80,61,55222722
a4829,9600,Snacks,5522,9,Completed,1,21500,16000,16000,3100,55,36,null
a3578,2800,Tacos,8875,8,Completed,1,49800,32140,32140,2100,61,42,null
a3673,4000,Tacos,790,1,Completed,1,32900,34700,26700,1800,56,37,55226500
a1047,2000,Tortas,9688,32,Completed,2,18500,16600,14800,1800,53,34,55220896
a1591,7500,Antojitos,5234,12,Completed,1,5000,6800,4760,1800,54,36,55179738
a4069,9300,Burger,6899,13,Completed,1,25600,15900,6400,3100,68,50,55226350
a3635,7600,Coffee,3462,4,Completed,2,12500,12300,12300,2300,57,39,null
a4222,100,Dessert,4503,2,Completed,2,25000,18700,16000,2700,52,34,55226944
a4922,3500,Gringas,5434,12,Completed,1,16500,17100,17100,2100,56,38,null
a3109,4300,Seafood,1422,4,Completed,1,52200,28100,28100,2000,51,33,null
a1229,1100,Tacos,4032,6,Completed,2,17000,12000,12000,1800,52,34,null
a5226,5300,Wings,5898,17,Completed,1,36000,29500,20650,2500,74,56,55192700
a4973,3600,Antojitos,6508,4,Completed,1,18440,20296,16596,3700,63,46,55220888
a1767,500,Burger,2914,10,Completed,2,12400,11380,9580,1800,56,39,55226944
a2668,7100,Chilaquiles,8348,19,Completed,1,8500,9100,6800,2300,56,39,55226664
a3184,1700,Chilaquiles,3058,4,Completed,1,27900,26700,26700,1800,49,32,null
a5029,6100,Coffee,9798,11,Completed,2,9000,6600,4500,2100,52,35,55226616
a4006,5000,Dessert,88,11,Completed,2,26000,24480,22680,1800,52,35,55226944
a1543,500,Gorditas,8151,2,Completed,2,5200,8000,5200,2800,62,45,55226944
a1573,2900,Pizza,5476,6,Completed,1,29800,31600,31600,1800,48,31,null
a3382,9300,Snacks,3303,1,Completed,1,13600,15900,11900,2300,62,45,55226840
a1899,2500,Sushi,8163,4,Completed,1,56000,30500,24500,2500,73,56,55220392
a3986,4000,Sushi,9821,15,Completed,1,29900,15255,13455,1800,48,31,55226944
a1900,9100,Tacos,9313,14,Completed,2,18500,12900,12900,1800,37,20,null
a3088,5800,Tortas,9452,7,Completed,2,9200,11500,9200,2300,51,34,55226944
a4456,5100,Tortas,9927,9,Completed,2,10000,12100,2600,2100,48,31,55226350
a2064,3000,Wings,1889,1,Completed,2,15900,13240,9240,3700,74,57,55226840
a4844,9300,Burger,6071,2,Completed,1,39900,22150,12650,2200,63,47,55226348
a3942,7000,Coffee,4825,2,Completed,1,33000,29500,24500,3100,68,52,55226072
a1944,5400,Dessert,5683,1,Completed,2,7400,8920,1920,3000,59,43,55223770
a3060,3800,Dessert,2223,1,Completed,1,20000,22200,18200,2200,48,32,55226840
a1037,100,Dessert,7614,4,Completed,2,10000,11800,10800,1800,47,31,55226620
a4335,1900,Hot Dog,3445,1,Completed,2,5500,7700,700,2200,53,37,55223770
a1517,2200,Meat,4236,3,Completed,2,8700,11000,8000,2300,54,38,55222686
a1824,1900,Meat,5442,1,Completed,2,3700,6300,0,2600,51,35,55223770
a4799,8600,Pizza,5629,12,Completed,2,25800,15690,15690,1500,41,25,null
a2733,6700,Seafood,6164,2,Completed,1,44400,46600,37100,2200,52,36,55226348
a1790,2400,Sushi,3047,15,Completed,1,58000,33465,33465,2200,69,53,null
a4386,8400,Sushi,3921,2,Completed,1,47500,35050,25550,0,66,50,55226350
a4573,2300,Sushi,4150,7,Completed,1,47500,29900,24900,600,60,44,55179736
a1719,8700,Sushi,3445,2,Completed,1,30100,32300,30100,2200,55,39,55226944
a1852,5000,Tacos,1849,1,Completed,1,34400,25800,20300,0,53,37,55226842
a4205,5300,Tacos,6282,3,Completed,1,19800,18040,15840,2200,47,31,55226944
a1684,6200,Tacos,6415,1,Completed,2,5600,7400,400,1800,43,27,55223770
a5212,7400,Tortas,9307,29,Completed,1,6000,8100,8100,2100,57,41,null
a1298,3800,Burger,669,4,Completed,1,8800,11300,11300,2500,65,50,null
a3775,9300,Burger,3796,9,Completed,2,15300,10450,9450,1800,59,44,55226620
a4557,4800,Burger,6926,1,Completed,2,28700,19420,13920,2200,48,33,55226842
a2532,6800,Chilaquiles,3164,61,Completed,1,12000,14670,14670,4100,71,56,null
a2986,9200,Coffee,7064,4,Completed,1,66200,50040,47540,2500,60,45,55220880
a1721,7400,Pizza,5225,9,Completed,2,36000,39000,39000,3000,65,50,null
a3794,5000,Soup,3290,9,Completed,2,22100,16360,16360,3100,73,58,null
a5329,3200,Sushi,9877,2,Completed,1,41300,27400,27400,2500,59,44,null
a1553,3200,Tacos,881,3,Completed,2,13800,12460,2960,2800,61,46,55226350
a1848,4700,Tacos,2417,9,Completed,1,9800,12200,2700,2400,51,36,55226352
a4555,4600,Tacos,7668,15,Completed,1,17600,20700,20700,3100,50,35,null
a5385,8500,Tacos,1221,2,Completed,1,30300,32500,27500,2200,50,35,55179736
a4191,5000,Tacos,5063,6,Completed,2,5100,6900,5100,1800,43,28,55220878
a4995,5100,Tortas,6765,2,Completed,1,6500,9100,0,2600,47,32,55226350
a4580,1000,Arepas,9117,3,Completed,2,12500,14800,13800,2300,59,45,55226620
a2704,5500,Birria,5230,1,Completed,1,34000,37200,31700,3200,68,54,55226842
a4298,6700,Burger,8026,3,Completed,1,41100,27460,27460,2800,57,43,null
a5104,4900,Burger,5528,2,Completed,2,9200,9160,7360,1800,49,35,55226616
a4749,3600,Burger,2702,11,Completed,2,37900,24540,17178,1800,47,33,55192700
a2904,7500,Chilaquiles,6001,1,Completed,2,6000,8200,2200,2200,58,44,55227000
a5393,6900,Dessert,7523,16,Completed,1,10500,13600,8600,3100,70,56,55178212
a2100,7700,Meat,2107,16,Completed,1,9500,12600,3100,3100,61,47,55226350
a5293,5600,Pizza,6050,1,Completed,2,33300,20550,15050,2600,64,50,55226842
a4157,6200,Pizza,2347,10,Completed,1,57000,59200,57000,2200,49,35,55226616
a3724,6400,Pozole,9596,3,Completed,1,25100,27500,27500,2400,47,33,null
a4447,4700,Salad,9862,15,Completed,1,13700,16100,16100,2400,49,35,null
a3057,6100,Snacks,7028,2,Completed,1,21900,25600,21900,3700,66,52,55226944
a1732,1900,Snacks,6365,2,Completed,2,19600,21400,21400,1800,49,35,null
a2555,700,Sushi,654,7,Completed,2,23500,26200,23500,2700,61,47,55226616
a3694,9600,Tacos,7719,5,Completed,2,2200,4300,2200,2100,57,43,55220882
a2263,5200,Tacos,4954,10,Completed,2,14500,17600,17600,3100,53,39,null
a3708,2200,Tacos,6118,8,Completed,1,6000,9200,6440,3200,50,36,55192700
a1112,2400,Tacos,3107,2,Completed,1,64700,67300,67300,2600,48,34,null
a2138,4800,Antojitos,1112,2,Completed,1,29800,19080,9580,0,73,60,55226348
a2810,1200,Chilaquiles,1872,1,Completed,1,28800,26020,16020,3100,59,46,55226494
a2481,8400,Chilaquiles,378,17,Completed,1,12800,15400,15400,2600,49,36,null
a1152,4900,Coffee,8052,11,Completed,1,13000,9100,9100,2600,59,46,null
a3785,6400,Coffee,686,6,Completed,1,28400,17640,17640,0,55,42,null
a2120,5400,Dessert,7442,6,Completed,2,10800,11520,2020,2200,55,42,55226350
a1134,6600,Gorditas,730,12,Completed,1,34500,19400,19400,1800,35,22,null
a2058,5600,Ice Creame,5672,2,Completed,2,5500,6400,3300,3100,58,45,55226944
a4649,4000,Ice Creame,4463,7,Completed,1,8000,10800,1300,2800,54,41,55226352
a4350,6400,Meat,2468,4,Completed,1,17800,12980,10680,2300,43,30,55226616
a1823,8700,Pizza,2957,1,Completed,1,13900,16700,16700,2800,62,49,null
a3211,3000,Pizza,5327,8,Completed,2,15400,17500,8000,2100,60,47,55226352
a4144,8600,Pizza,4356,17,Completed,1,12900,10295,10295,3200,54,41,null
a2918,6600,Snacks,5249,1,Completed,2,5200,7300,300,2100,54,41,55223770
a5290,2700,Sushi,3023,2,Completed,1,19800,15150,12350,2800,61,48,55226944
a4500,8300,Sushi,8559,9,Completed,1,32800,16400,16400,0,58,45,null
a4541,3200,Sushi,1554,31,Completed,1,26300,29100,26300,2800,58,45,55220890
a1654,9800,Sushi,5200,5,Completed,1,52000,31000,31000,2400,55,42,null
a4480,4000,Sushi,7204,14,Completed,1,44900,22705,22705,2500,53,40,null
a4677,3200,Sushi,8217,1,Completed,1,65600,34600,30600,1800,49,36,55226840
a1353,9500,Tacos,7156,10,Completed,1,26500,19100,15900,3200,63,50,55226672
a2482,6400,Tacos,4417,10,Completed,1,19400,22600,22600,3200,58,45,null
a2858,4800,Tacos,6472,1,Completed,1,4500,8200,3100,3700,57,44,55226850
a3709,2800,Tacos,3020,15,Completed,2,11800,9680,9680,2600,54,41,null
a4870,4500,Tacos,3745,10,Completed,2,30000,31800,30000,1800,39,26,55226616
a1075,6700,Tortas,9346,8,Completed,2,24000,18500,18500,2500,61,48,null
a3899,5100,Tortas,7216,7,Completed,1,24500,27000,22000,2500,56,43,55179736
a3732,600,Tortas,6864,10,Completed,2,16000,16800,15800,2300,45,32,55226620
a4539,1700,Wings,7294,9,Completed,1,34350,36750,36750,2400,60,47,null
a3264,7400,Birria,6631,4,Completed,1,45000,22000,17600,2000,44,32,55179736
a1968,5200,Dessert,8742,6,Completed,1,10000,9100,6000,3100,67,55,55220882
a1068,5000,Dessert,2183,2,Completed,2,5900,7240,0,3700,65,53,55226350
a5070,4200,Dessert,97,2,Completed,1,5000,8200,5000,3200,58,46,55226944
a2537,5200,Dessert,3406,6,Completed,1,32700,21820,19620,2200,57,45,55226944
a2146,1200,Dessert,8769,5,Completed,1,9200,12000,9200,2800,55,43,55220878
a5478,100,Dessert,7040,1,Completed,2,7500,6800,1300,1800,35,23,55226842
a4797,8800,Hot Dog,2997,1,Completed,2,13600,16700,11700,3100,60,48,55226844
a3602,6200,Ice Creame,5412,5,Completed,2,9000,10800,9000,1800,35,23,55220892
a2107,5600,Juice,816,20,Completed,1,15300,16300,16300,2200,51,39,null
a3811,7400,Pizza,6200,3,Completed,2,25000,17700,17700,2200,62,50,null
a4821,8600,Pizza,6872,2,Completed,2,34900,22195,19195,3000,53,41,55226944
a3807,8600,Pizza,9074,2,Completed,2,34900,21395,21395,2200,45,33,null
a5345,5100,Ramen,4083,4,Completed,1,43500,23750,23750,2000,56,44,null
a3075,8600,Snacks,1915,6,Completed,2,28600,30400,30400,1800,43,31,null
a4513,9900,Sushi,6200,1,Completed,1,48000,49800,39800,1800,60,48,55226494
a2115,100,Sushi,1086,5,Completed,2,14500,16500,16500,2000,56,44,null
a4815,1200,Sushi,3650,10,Completed,1,84800,44700,42400,2300,45,33,55220878
a4982,6400,Tacos,7285,7,Completed,1,16000,14300,11200,3100,67,55,55226944
a1024,4900,Tacos,8850,5,Completed,2,10000,10000,500,0,47,35,55226350
a4657,8500,Tacos,5482,12,Completed,2,14500,17600,17600,3100,47,35,null
a3494,5100,Tortas,6749,1,Completed,1,53000,55600,45600,2600,55,43,55226494
a5315,5100,Tortas,5731,20,Completed,1,17100,19700,10200,2600,48,36,55226352
a1433,3700,Tortas,366,9,Completed,1,11300,10900,8800,2100,46,34,55220884
a3275,1600,Tortas,625,3,Completed,1,12300,14400,12300,2100,41,29,55226944
a2572,3000,Arroz,5210,11,Completed,2,33100,22300,21300,2000,58,47,55226620
a1749,3000,Arroz,9473,1,Completed,1,42100,28400,18900,2500,49,38,55226348
a4037,9300,Burger,4653,4,Completed,1,52300,33300,30800,2500,64,53,55226616
a4240,6400,Burger,6406,1,Completed,1,5800,9300,5300,3500,48,37,55226840
a2365,1300,Chilaquiles,3703,3,Completed,1,7000,7300,4300,3100,49,38,55222722
a1179,1300,Chilaquiles,5088,17,Completed,1,36500,18250,18250,0,48,37,null
a4304,9800,Chilaquiles,1505,4,Completed,2,7000,6700,4700,1800,48,37,55177296
a4939,9200,Chilaquiles,8580,15,Completed,1,6500,8300,8300,1800,40,29,null
a3374,8300,Dessert,7664,2,Completed,2,24400,27200,24400,2800,45,34,55220894
a1163,800,Pizza,43,2,Completed,1,41400,44200,41400,2800,69,58,55226944
a1394,6600,Pizza,711,10,Completed,1,15000,13600,4100,3100,64,53,55226348
a3257,3000,Pizza,3044,2,Completed,1,30900,34600,34600,3700,64,53,null
a3353,8300,Pizza,6802,1,Completed,1,47800,30400,20400,2500,55,44,55226494
a3470,4900,Pozole,8542,7,Completed,2,23900,21380,21380,2100,51,40,null
a1305,9400,Seafood,7884,3,Completed,1,35000,37000,27000,2000,49,38,55192700
a3595,9900,Sushi,1566,1,Completed,1,74300,76500,69500,2200,59,48,55224824
a1870,2400,Sushi,9001,6,Completed,1,67400,70200,67400,2800,57,46,55226944
a4808,8300,Sushi,1710,4,Completed,1,12500,12500,3000,0,51,40,55226350
a4889,4000,Sushi,6466,5,Completed,1,68100,30645,29645,0,46,35,55226620
a3066,2700,Sushi,4668,1,Completed,1,91900,77220,69220,1800,39,28,55226500
a1704,5300,Tacos,2049,2,Completed,1,22800,25600,22800,2800,66,55,55226944
a1207,900,Tacos,9350,14,Completed,1,25800,19700,16700,3100,64,53,55222722
a4324,2300,Tacos,2646,6,Completed,2,18400,20800,20800,2400,59,48,null
a3924,3500,Tacos,5126,24,Completed,2,12300,9980,9980,2600,53,42,null
a3575,9800,Tacos,9042,1,Completed,2,7800,8740,1740,2500,51,40,55223770
a4642,300,Tacos,1888,2,Completed,1,86000,64020,64020,3100,48,37,null
a3482,5000,Tacos,3147,2,Completed,1,25700,20100,18300,1800,37,26,55220896
a3113,8000,Tortas,5076,1,Completed,1,10000,7800,2300,1800,40,29,55226842
a1234,500,Wings,1774,2,Completed,2,16300,20200,16300,3900,70,59,55226944
a1994,1000,Wings,8644,1,Completed,2,29400,20555,16555,2100,49,38,55226840
a1838,5500,Birria,9274,2,Completed,2,20000,23900,20000,3900,65,55,55226944
a1952,700,Burger,9118,2,Completed,1,27600,13800,4300,0,62,52,55226350
a2559,9200,Burger,6261,5,Completed,1,9900,8140,5940,2200,52,42,55226944
a2935,6600,Burger,5899,6,Completed,2,28500,31300,31300,2800,48,38,null
a2828,7800,Burger,6421,1,Completed,1,65700,67500,63500,1800,42,32,55226840
a4321,7000,Coffee,2810,1,Completed,2,5000,6600,0,2600,62,52,55223770
a4115,6800,Meat,2151,4,Completed,1,15000,17400,17400,2400,52,42,null
a4184,1100,Pizza,1217,1,Completed,1,29900,33600,29900,3700,60,50,55226668
a4401,5600,Pizza,574,7,Completed,1,19500,13550,11050,2500,54,44,55226944
a2669,9000,Pizza,1606,3,Completed,2,26500,28700,26500,2200,48,38,55226944
a4185,6400,Pozole,4271,3,Completed,2,18600,22100,18600,3500,53,43,55226616
a2471,500,Salad,5689,31,Completed,1,11300,13800,13800,2500,47,37,null
a4753,8700,Sandwiches,2912,5,Completed,1,16200,18500,18500,2300,48,38,null
a3650,400,Snacks,7877,3,Completed,1,19000,14900,13900,3500,61,51,55226620
a4945,9600,Snacks,2883,1,Completed,1,35000,23400,17900,2400,43,33,55226842
a2126,100,Sushi,2455,3,Completed,2,22000,25500,24500,3500,59,49,55226620
a4664,2300,Sushi,7308,3,Completed,2,18000,18500,15700,2800,54,44,55222722
a4420,8800,Sushi,5462,3,Completed,2,26000,28300,19810,2300,48,38,55192700
a4329,2700,Sushi,7040,10,Completed,1,29300,16850,14650,2200,47,37,55220884
a3489,9800,Sushi,7980,4,Completed,1,49000,31200,31200,1800,44,34,null
a1002,4600,Tacos,9647,14,Completed,1,44300,47400,47400,3100,66,56,null
a2141,100,Tacos,6856,2,Completed,2,28800,32300,32300,3500,61,51,null
a2320,700,Tacos,6667,3,Completed,2,15600,17300,17300,3700,56,46,null
a1422,9500,Tacos,9411,4,Completed,1,45500,47300,42300,1800,41,31,55179736
a2237,8600,Antojitos,5738,2,Completed,1,28000,24100,24100,2100,44,35,null
a3970,3000,Burger,9442,2,Completed,1,42200,45000,45000,2800,52,43,null
a4522,4200,Burger,1508,2,Completed,2,20000,21800,20000,1800,41,32,55226616
a3797,1900,Dessert,3672,28,Completed,1,14000,10200,9200,3200,73,64,55226620
a4289,2500,Dessert,3472,28,Completed,1,43800,45800,45800,2000,47,38,null
a3171,500,Dessert,3467,6,Completed,1,27100,29300,29300,2200,45,36,null
a3479,3900,Dessert,8997,8,Completed,2,6200,8400,8400,2200,45,36,null
a2065,3000,Drinks,2664,12,Completed,1,59700,32050,32050,2200,46,37,null
a2221,5600,Ice Creame,1955,23,Completed,2,34500,23200,16240,2500,43,34,55192700
a1182,2200,Pizza,8083,1,Completed,2,24200,16000,10500,2600,55,46,55226842
a3572,100,Pizza,4190,1,Completed,2,18500,20300,12300,1800,44,35,55226500
a5060,4600,Pizza,8470,19,Completed,1,38600,24960,24960,1800,36,27,null
a4257,4700,Salad,6588,3,Completed,2,30800,30600,28800,1800,42,33,55226616
a3438,4700,Salad,2570,3,Completed,1,9400,11600,11600,2200,40,31,null
a3570,9300,Seafood,4208,1,Completed,2,5500,7700,1700,2200,50,41,55227000
a5061,7700,Seafood,992,2,Completed,1,20800,15580,15580,3100,49,40,null
a4656,6600,Snacks,9567,5,Completed,2,27700,20725,20725,0,50,41,null
a4935,3400,Snacks,7319,2,Completed,2,12500,15300,14300,2800,48,39,55226620
a5107,5000,Soup,7911,7,Completed,2,30300,21080,21080,2100,50,41,null
a1157,8800,Sushi,9246,3,Completed,1,70000,73700,64200,3700,62,53,55226350
a4403,1100,Sushi,5029,6,Completed,1,32000,34200,32000,2200,45,36,55226944
a4512,9600,Tacos,7766,37,Completed,1,8800,9700,6790,3100,53,44,55179738
a5387,9600,Tacos,4623,11,Completed,1,17600,18400,18400,2300,53,44,null
